titulo,artista,letra,tam_letra,idioma_detectado,sent_label,sent_score,sent_polarity
Viva La Vida,Coldplay,"I used to rule the world Seas would rise when I gave the word Now in the morning I sleep alone Sweep the streets I used to own I used to roll the dice Feel the fear in my enemy's eyes Listened as the crowd would sing Now the old king is dead! Long live the king! One minute I held the key Next the walls were closed on me And I discovered that my castles stand Upon pillars of salt and pillars of sand I hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain Once you'd gone, there was never Never an honest word That was when I ruled the world It was the wicked and wild wind Blew down the doors to let me in Shattered windows and the sound of drums People couldn't believe what I'd become Revolutionaries wait For my head on a silver plate Just a puppet on a lonely string Oh, who would ever want to be king? I hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world Ooh, ooh, ooh, ooh Hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world",287,en,neutral,0.42191046476364136,0.0
Wish You Were Here,Pink Floyd,"So, so you think you can tell Heaven from hell? Blue skies from pain? Can you tell a green field From a cold steel rail? A smile from a veil? Do you think you can tell? Did they get you to trade Your heroes for ghosts? Hot ashes for trees? Hot air for a cool breeze? Cold comfort for change? Did you exchange A walk on part in the war For a lead role in a cage? How I wish How I wish you were here We're just two lost souls Swimming in a fish bowl year after year Running over the same old ground What have we found? The same old fears Wish you were here",117,en,neutral,0.42078056931495667,0.0
Friends,Chase Atlantic,"Girl, tell me what you're doing on the other side And tell, just tell me what you're doing with that other guy 'Cause I ain't got patience to slow down the bass All your girlfriends are wasted They need it, they chase it Face it, you want it, you crave it Believe when I say that you'll know once you taste it All of your friends have been here for too long They must be waiting for you to move on Girl, I'm not with it, I'm way too far gone I'm not ready, eyes heavy now Heart on your sleeve like you've never been loved Running in circles, now look what you've done Give you my word as you take it and run Wish you'd let me stay, I'm ready now Just give me some time and space to realize That you, were busy lying, sleeping 'round with other guys And what the hell were we? Tell me we weren't just friends This doesn't make much sense, no But I'm not hurt, I'm tense 'Cause I'll be fine without you, babe All of your friends have been here for too long They must be waiting for you to move on Girl, I'm not with it I'm way too far gone I'm not ready, eyes heavy now Heart on your sleeve like you've never been loved Running in circles, now look what you've done Give you my word as you take it and run Wish you'd let me stay, I'm ready now Wish you'd let me stay, I'm ready now I'm not ready, eyes heavy now Woo All of your friends have been here for too long They must be waiting for you to move on Girl, I'm not with it I'm way too far gone I'm not ready, eyes heavy now Heart on your sleeve like you've never been loved Running in circles, now look what you've done Give you my word as you take it and run Wish you'd let me stay, I'm ready now I'm not ready, eyes heavy now Wish you'd let me stay, I'm ready now I'm not ready, eyes heavy now Wish you'd let me stay, I'm ready now",365,en,neutral,0.4818567633628845,0.0
Heaven,Bryan Adams,"Oh, thinking about our younger years There was only you and me We were young and wild and free Now nothing can take you away from me We've been down that road before But that's over now You keep me coming back for more Baby, you're all that I want When you're lying here in my arms I'm finding it hard to believe We're in heaven And love is all that I need And I found it there in your heart It isn't too hard to see We're in heaven Oh, once in your life you find someone Who will turn your world around Bring you up when you're feeling down Yeah, nothing could change what you mean to me Oh, there's lots that I could say But just hold me now 'Cause our love will light the way And baby you're all that I want When you're lying here in my arms I'm finding it hard to believe We're in heaven Yeah, love is all that I need And I found it there in your heart It isn't too hard to see We're in heaven Yeah I've been waiting for so long For something to arrive For love to come along Now our dreams are coming true Through the good times and the bad Yeah, I'll be standing there by you, oh And baby you're all that I want When you're lying here in my arms I'm finding it hard to believe We're in heaven And love is all that I need And I found it there in your heart It isn't too hard to see We're in heaven, heaven, woah You're all that I want You're all that I need",282,en,neutral,0.4907580614089966,0.0
Have You Ever Seen The Rain,Creedence Clearwater Revival,"Someone told me long ago There's a calm before the storm I know, it's been comin' for some time When it's over, so they say It'll rain a sunny day I know, shinin' down like water I wanna know, have you ever seen the rain? I wanna know, have you ever seen the rain Comin' down on a sunny day? Yesterday and days before Sun is cold and rain is hard I know, been that way for all my time Till forever on it goes Through the circle, fast and slow I know, it can't stop, I wonder I wanna know, have you ever seen the rain? I wanna know, have you ever seen the rain Comin' down on a sunny day? Yeah I wanna know, have you ever seen the rain? I wanna know, have you ever seen the rain Comin' down on a sunny day?",147,en,neutral,0.47037509083747864,0.0
Demons,Imagine Dragons,"When the days are cold And the cards all fold And the saints we see Are all made of gold When your dreams all fail And the ones we hail Are the worst of all And the blood's run stale I wanna hide the truth I wanna shelter you But with the beast inside There's nowhere we can hide No matter what we breed We still are made of greed This is my kingdom come This is my kingdom come When you feel my heat Look into my eyes It's where my demons hide It's where my demons hide Don't get too close It's dark inside It's where my demons hide It's where my demons hide At the curtain's call Is the last of all When the lights fade out All the sinners crawl So they dug your grave And the masquerade Will come calling out At the mess you made Don't wanna let you down But I am hell bound Though this is all for you Don't wanna hide the truth No matter what we breed We still are made of greed This is my kingdom come This is my kingdom come When you feel my heat Look into my eyes It's where my demons hide It's where my demons hide Don't get too close It's dark inside It's where my demons hide It's where my demons hide They say it's what you make I say it's up to fate It's woven in my soul I need to let you go Your eyes, they shine so bright I wanna save that light I can't escape this now Unless you show me how When you feel my heat Look into my eyes It's where my demons hide It's where my demons hide Don't get too close It's dark inside It's where my demons hide It's where my demons hide",309,en,negative,0.4397004246711731,-0.4397004246711731
Do I Wanna Know?,Arctic Monkeys,"Have you got colour in your cheeks? Do you ever get that fear that you can't shift The type that sticks around like summat in your teeth? Are there some aces up your sleeve? Have you no idea that you're in deep? I dreamt about you nearly every night this week How many secrets can you keep? 'Cause there's this tune I found That makes me think of you somehow And I play it on repeat Until I fall asleep Spilling drinks on my settee (Do I wanna know) If this feeling flows both ways? (Sad to see you go) Was sorta hoping that you'd stay (Baby, we both know) That the nights were mainly made For saying things that you can't say tomorrow day Crawling back to you Ever thought of calling when you've had a few? 'Cause I always do Maybe I'm too busy being yours to fall for somebody new Now, I've thought it through Crawling back to you So, have you got the guts? Been wondering if your heart's still open And if so, I wanna know what time it shuts Simmer down and pucker up I'm sorry to interrupt, it's just I'm constantly on the cusp Of trying to kiss you I don't know if you feel the same as I do But we could be together if you wanted to (Do I wanna know) If this feeling flows both ways? (Sad to see you go) Was sorta hoping that you'd stay (Baby, we both know) That the nights were mainly made For saying things that you can't say tomorrow day Crawling back to you (crawling back to you) Ever thought of calling when you've had a few? (You've had a few?) 'Cause I always do ('cause I always do) Maybe I'm too (maybe I'm too busy) Busy being yours (being yours) To fall for somebody new Now, I've thought it through Crawling back to you (Do I wanna know) If this feeling flows both ways? (Sad to see you go) Was sorta hoping that you'd stay (Baby, we both know) That the nights were mainly made For saying things that you can't say tomorrow day (Do I wanna know?) Too busy being yours to fall (Sad to see you go) Ever thought of calling, darling? (Do I wanna know?) Do you want me crawling back to you?",393,en,neutral,0.47506028413772583,0.0
Esperando Na Janela,Cogumelo Plutão,"Quando me perdi, você apareceu Me fazendo rir do que aconteceu E de medo, olhei tudo ao meu redor Só assim enxerguei que agora eu estou melhor Você é a escada na minha subida Você é o amor da minha vida É o meu abrir de olhos no amanhecer Verdade que me leva a viver Você é a espera na janela A ave que vem de longe tão bela A esperança que arde em calor Você é a tradução do que é o amor E a dor saiu Foi você quem me curou Quando o mal partiu Vi que algo em mim mudou No momento em que quis Ficar junto de ti E agora sou feliz Pois lhe tenho bem aqui Você é a escada na minha subida Você é o amor da minha vida É o meu abrir de olhos no amanhecer Verdade que me leva a viver Você é a espera na janela A ave que vem de longe tão bela A esperança que arde em calor Você é a tradução do que é o amor Quando me perdi, você apareceu Me fazendo rir do que aconteceu E de medo, olhei tudo ao meu redor Só assim enxerguei que agora eu estou melhor Você é a escada na minha subida Você é o amor da minha vida É o meu abrir de olhos no amanhecer Verdade que me leva a viver Você é a espera na janela A ave que vem de longe tão bela A esperança que arde em calor Você é a tradução do que é o amor Do que é o amor Do que é o amor Do que é o amor",277,pt,neutral,0.45465290546417236,0.0
Somewhere Only We Know,Keane,"I walked across an empty land I knew the pathway like the back of my hand I felt the earth beneath my feet Sat by the river and it made me complete Oh, simple thing, where have you gone? I'm getting old and I need something to rely on So tell me when you're gonna let me in I'm getting tired and I need somewhere to begin I came across a fallen tree I felt the branches of it looking at me Is this the place we used to love? Is this the place that I've been dreaming of? Oh, simple thing, where have you gone I'm getting old and I need something to rely on So tell me when you're gonna let me in I'm getting tired and I need somewhere to begin And if you have a minute why don't we go Talk about it somewhere only we know? This could be the end of everything So why don't we go Somewhere only we know? (Somewhere only we know) Oh, simple thing, where have you gone? I'm getting old and I need something to rely on So tell me when you gonna let me in I'm getting tired and I need somewhere to begin And if you have a minute why don't we go Talk about it somewhere only we know? This could be the end of everything So why don't we go So why don't we go This could be the end of everything So why don't we go Somewhere only we know? Somewhere only we know? Somewhere only we know?",264,en,neutral,0.4791069030761719,0.0
Bohemian Rhapsody,Queen,"Is this the real life? Is this just fantasy? Caught in a landslide No escape from reality Open your eyes Look up to the skies and see I'm just a poor boy I need no sympathy Because I'm easy come, easy go Little high, little low Anyway the wind blows Doesn't really matter to me To me Mama, just killed a man Put a gun against his head Pulled my trigger, now he's dead Mama, life had just begun But now I've gone and thrown it all away Mama! Ooh! Didn't mean to make you cry If I'm not back again this time tomorrow Carry on, carry on As if nothing really matters Too late, my time has come Sends shivers down my spine Body's aching all the time Goodbye, everybody I've got to go Gotta leave you all behind And face the truth Mama! Ooh! (Anyway the wind blows) I don't wanna die I sometimes wish I'd never been born at all I see a little silhouetto of a man Scaramouche! Scaramouche! Will you do the fandango? Thunderbolt and lightning Very, very frightening me! Galileo! Galileo! Galileo! Galileo! Galileo, Figaro! Magnifico! I'm just a poor boy and nobody loves me (He's just a poor boy from a poor family) (Spare him his life, from this monstrosity) Easy come, easy go Will you let me go? Bismillah! No, we will not let you go! (Let him go!) Bismillah! We will not let you go! (Let him go!) Bismillah! We will not let you go! (Let me go!) Will not let you go! (Let me go!) Never, never let you go! Never, never, never let me go! No, no, no, no, no, no, no! Oh, mamma mia, mamma mia! Mamma mia, let me go! Beelzebub has a devil put aside for me! For me! For me! So you think you can stone me and spit in my eye? So you think you can love me and leave me to die? Oh, baby! Can't do this to me, baby! Just gotta get out Just gotta get right outta here! Oh, yeah! Oh, yeah! Nothing really matters Anyone can see Nothing really matters Nothing really matters to me Anyway the wind blows",369,en,negative,0.5111233592033386,-0.5111233592033386
I Wanna Be Yours,Arctic Monkeys,"I wanna be your vacuum cleaner Breathing in your dust I wanna be your Ford Cortina I will never rust If you like your coffee hot Let me be your coffee pot You call the shots, babe I just wanna be yours Secrets I have held in my heart Are harder to hide than I thought Maybe I just wanna be yours I wanna be yours, I wanna be yours Wanna be yours Wanna be yours Wanna be yours Let me be your 'leccy meter And I'll never run out Let me be the portable heater That you'll get cold without I wanna be your setting lotion (wanna be) Hold your hair in deep devotion (how deep?) At least as deep as the Pacific Ocean I wanna be yours Secrets I have held in my heart Are harder to hide than I thought Maybe I just wanna be yours I wanna be yours, I wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours I wanna be your vacuum cleaner (wanna be yours) Breathing in your dust (wanna be yours) I wanna be your Ford Cortina (wanna be yours) I will never rust (wanna be yours) I just wanna be yours (wanna be yours) I just wanna be yours (wanna be yours) I just wanna be yours (wanna be yours)",237,en,neutral,0.47974368929862976,0.0
Thunder,Imagine Dragons,"Just a young gun with a quick fuse I was uptight, wanna let loose I was dreaming of bigger things And wanna leave my own life behind Not a: Yes sir, not a follower Fit the box, fit the mold Have a seat in the foyer, take a number I was lightning before the thunder Thunder, thunder Thunder, thun-, thunder Thun-thun-thunder, thunder, thunder Thunder, thun-, thunder Thun-thun-thunder, thunder Thunder, feel the thunder Lightning then the thunder Thunder, feel the thunder Lightning then the thunder Thunder, thunder Thunder Kids were laughing in my classes While I was scheming for the masses Who do you think you are? Dreaming 'bout being a big star They say you're basic, they say you're easy You're always riding in the back seat Now I'm smiling from the stage while You were clapping in the nosebleeds Thunder Thunder, thun-, thunder Thun-thun-thunder, thunder, thunder Thunder, thun-, thunder Thun-thun-thunder, thunder Thunder, feel the thunder Lightning then the thunder Thunder, feel the thunder Lightning then the thunder, thunder Thunder, feel the thunder Lightning then the thunder, thunder Thunder, feel the thunder Lightning then the thunder, thunder Thunder, feel the thunder Lightning then the thunder, thunder Thunder, feel the thunder (feel the) Lightning then the thunder, thunder Thunder, feel the thunder (feel the) Lightning then the thunder, thunder Thunder, thunder, thun-, thunder Thun-thun-thunder, thunder Thunder, thunder, thun-, thunder Thun-thun-thunder, thunder Thunder, thunder, thun-, thunder Thun-thun-thunder, thunder Thunder, thunder, thun-, thunder Thun-thun-thunder, thunder",242,en,neutral,0.390472412109375,0.0
Can't Help Falling In Love,Elvis Presley,"Wise men say Only fools rush in But I can't help Falling in love with you Shall I stay? Would it be a sin If I can't help Falling in love with you? Like a river flows Surely to the sea Darling, so it goes Some things are meant to be Take my hand Take my whole life too For I can't help Falling in love with you Like a river flows Surely to the sea Darling, so it goes Some things are meant to be Take my hand Take my whole life too For I can't help Falling in love with you For I can't help Falling in love with you",112,en,neutral,0.4110834300518036,0.0
Sparks,Coldplay,"Did I drive you away? I know what you'll say You say: Oh, sing one you know But I promise you this I'll always look out for you That's what I'll do I say: Oh I say: Oh My heart is yours It's you that I hold on to That's what I do I know I was wrong I won't let you down (Oh, yeah, I will, yeah, I will, yes, I will) I say: Oh I cry: Oh Yeah, I saw sparks Yeah, I saw sparks And I saw sparks Yeah, I saw sparks Sing it out La, la, la, la, oh La, la, la, la, oh La, la, la, la, oh La, la, la, la, oh",118,en,neutral,0.476764053106308,0.0
The Night We Met,Lord Huron,"I am not the only traveler Who has not repaid his debt I've been searching for a trail to follow again Take me back to the night we met And then I can tell myself What the hell I'm supposed to do And then I can tell myself Not to ride along with you I had all and then most of you Some and now none of you Take me back to the night we met I don't know what I'm supposed to do Haunted by the ghost of you Oh, take me back to the night we met When the night was full of terrors And your eyes were filled with tears When you had not touched me yet Take me back to the night we met I had all and then most of you Some and now none of you Take me back to the night we met I don't know what I'm supposed to do Haunted by the ghost of you Take me back to the night we met",172,en,neutral,0.46396681666374207,0.0
Linger,The Cranberries,"If you If you could return Don't let it burn Don't let it fade I'm sure I'm not being rude But it's just your attitude It's tearing me apart It's ruining every day I swore I swore I would be true And honey, so did you So why were you holding her hand? Is that the way we stand? Were you lying all the time? Was it just a game to you? But I'm in so deep You know I'm such a fool for you You got me wrapped around your finger, ah, ah, ah Do you have to let it linger? Do you have to, do you have to, do you have to let it linger? Oh, I thought the world of you I thought nothing could go wrong But I was wrong I was wrong If you If you could get by trying not to lie Things wouldn't be so confused And I wouldn't feel so used But you always really knew I just wanna be with you And I'm in so deep You know I'm such a fool for you You got me wrapped around your finger, ah, ah, ah Do you have to let it linger? Do you have to, do you have to, do you have to let it linger? And I'm in so deep You know I'm such a fool for you You got me wrapped around your finger, ah, ah, ah Do you have to let it linger? Do you have to, do you have to, do you have to let it linger? You know I'm such a fool for you You got me wrapped around your finger, ah, ah, ah Do you have to let it linger? Do you have to, do you have to, do you have to let it linger?",300,en,neutral,0.40807998180389404,0.0
Black,Pearl Jam,"Sheets of empty canvas Untouched sheets of clay Were laid spread out before me As her body once did All five horizons Revolved around her soul As the earth to the sun Now the air I tasted and breathed Has taken a turn Oh, and all I taught her was everything Oh, I know she gave me all that she wore And now my bitter hands Chafe beneath the clouds Of what was everything Oh, the pictures have All been washed in black Tattooed everything I take a walk outside I'm surrounded by some kids at play I can feel their laughter So, why do I sear? Oh, and twisted thoughts that spin round my head I'm spinning, oh, I'm spinning How quick the sun can drop away? And now my bitter hands Cradle broken glass Of what was everything All the pictures have All been washed in black Tattooed everything All the love gone bad Turned my world to black Tattooed all I see All that I am All that I'll be, yeah I know someday you'll have a beautiful life I know you'll be a star In somebody else's sky, but why? Why? Why Can't it be, oh, can't it be mine?",204,en,negative,0.4387347400188446,-0.4387347400188446
Every Breath You Take,The Police,"Every breath you take And every move you make Every bond you break Every step you take I'll be watching you Every single day Every word you say Every game you play Every night you stay I'll be watching you Oh, can't you see You belong to me? How my poor heart aches With every step you take? Every move you make And every vow you break Every smile you fake Every claim you stake I'll be watching you Since you've gone, I've been lost without a trace I dream at night, I can only see your face I look around, but it's you I can't replace I feel so cold and I long for your embrace I keep crying: Baby, baby, please Mmm, mmm, mmm, mmm Mmm, mmm, mmm Oh, can't you see You belong to me? How my poor heart aches With every step you take? Every move you make And every vow you break Every smile you fake Every claim you stake I'll be watching you Every move you make Every step you take I'll be watching you I'll be watching you (Every breath you take) (Every move you make) (Every bond you break) (Every step you take) I'll be watching you (Every single day) (Every word you say) (Every game you play) (Every night you stay) I'll be watching you (Every move you make) (Every vow you break) (Every smile you fake) (Every claim you stake) I'll be watching you (Every single day) (Every word you say) (Every game you play) (Every night you stay) I'll be watching you (Every breath you take) (Every move you make) (Every bond you break) (Every step you take) I'll be watching you (Every single day) (Every word you say) (Every game you—)",293,en,neutral,0.46821361780166626,0.0
